episode,high,mid,low,choice,win,order,total_wins,wins_to_that_point,fund,picked,questions_correct
55,50000,18000,2000,Middle choice,Contestant Wins,3,2,1.0,0,18000.0,9.0
55,40000,14000,500,Middle choice,Contestant Wins,4,3,2.0,18000,14000.0,7.0
56,35000,12000,3500,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
56,30000,10000,3000,Middle choice,Contestant Wins,2,2,1.0,12000,10000.0,5.0
56,50000,16000,4000,Middle choice,Contestant Wins,3,3,2.0,22000,16000.0,8.0
56,60000,18000,-1000,Middle choice,Contestant Wins,4,4,3.0,38000,18000.0,9.0
57,50000,20000,4000,Middle choice,Contestant Wins,1,1,0.0,0,20000.0,10.0
57,55000,14000,2000,Middle choice,Contestant Wins,2,2,1.0,20000,14000.0,7.0
57,60000,12000,1000,Middle choice,Chaser Wins,3,2,2.0,34000,12000.0,6.0
57,65000,8000,-1000,Top choice,Chaser Wins,4,2,2.0,0,65000.0,4.0
58,30000,10000,2500,Middle choice,Contestant Wins,1,1,0.0,0,10000.0,5.0
58,40000,12000,3000,Middle choice,Chaser Wins,2,1,1.0,10000,12000.0,6.0
58,50000,12000,3000,Low choice,Contestant Wins,3,2,1.0,0,3000.0,6.0
58,60000,10000,2000,Middle choice,Contestant Wins,4,3,2.0,3000,10000.0,5.0
59,35000,10000,2500,Middle choice,Contestant Wins,1,1,0.0,0,10000.0,5.0
59,45000,16000,3500,Middle choice,Contestant Wins,2,2,1.0,10000,16000.0,8.0
59,40000,10000,2000,Middle choice,Contestant Wins,3,3,2.0,26000,10000.0,5.0
59,56000,20000,4000,Middle choice,Chaser Wins,4,3,3.0,36000,20000.0,10.0
60,33000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
60,35000,12000,2500,Low choice,Chaser Wins,2,1,1.0,12000,2500.0,6.0
60,44000,18000,2000,Middle choice,Chaser Wins,3,1,1.0,0,18000.0,9.0
60,40000,12000,1000,Middle choice,Contestant Wins,4,2,1.0,0,12000.0,6.0
61,40000,14000,3000,Middle choice,Chaser Wins,1,1,0.0,0,14000.0,7.0
61,45000,14000,3000,Middle choice,Contestant Wins,2,1,0.0,0,14000.0,7.0
61,40000,10000,2000,Low choice,Contestant Wins,3,2,1.0,14000,2000.0,5.0
61,50000,14000,1000,Middle choice,Contestant Wins,4,3,2.0,16000,14000.0,7.0
62,40000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
62,35000,10000,2500,Middle choice,Contestant Wins,2,2,1.0,12000,10000.0,5.0
62,30000,8000,1500,Middle choice,Contestant Wins,3,3,2.0,22000,8000.0,4.0
62,55000,14000,3500,Middle choice,Contestant Wins,4,4,3.0,30000,14000.0,7.0
63,30000,12000,2500,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
63,25000,2000,500,Low choice,Chaser Wins,2,1,1.0,12000,500.0,1.0
63,35000,2000,-1000,Middle choice,Contestant Wins,3,2,1.0,0,2000.0,1.0
63,40000,4000,-500,Middle choice,Chaser Wins,4,2,2.0,2000,4000.0,2.0
64,25000,8000,1000,Middle choice,Contestant Wins,1,1,0.0,0,8000.0,4.0
64,40000,12000,3000,Middle choice,Chaser Wins,2,1,1.0,8000,12000.0,6.0
64,45000,10000,2500,Middle choice,Contestant Wins,3,2,1.0,0,10000.0,5.0
64,55000,12000,4000,Middle choice,Chaser Wins,4,2,2.0,10000,12000.0,6.0
65,45000,16000,3000,Middle choice,Chaser Wins,1,0,0.0,0,16000.0,8.0
